questions,answers
no can do sorry,fine then would you mind giving me bucks
fine then would you mind giving me bucks,no way
no way,that s so unfair
good evening pizza house this is marty speaking may i take your order,um yes i would like a medium pizza with pepperoni olives and extra cheese
sure that sounds good,great would you like your second pizza to be the same as the first
perfect thank you bye,wait i need your address
hello may i help you,yeah this dress is really nice how much is it
yeah this dress is really nice how much is it,that one is one hundred and fifty dollars
that one is one hundred and fifty dollars,one hundred and fifty dollars what about this other one over here
one hundred and fifty dollars what about this other one over here,that s one hundred and forty
this is an exclusive design by marco it s a bargain at that price,well i don t know i think i ll shop around
well i don t know i think i ll shop around,okay okay how about one hundred dollars
okay okay how about one hundred dollars,that s still more than i wanted to spend what if i take both dresses
this is a porsche,yes beautiful is not it
yes beautiful is not it,but i probably can not afford it it must be really expensive
do you still want the car sir,yes it will be fun driving back down the coast my girlfriend will like it
yes it will be fun driving back down the coast my girlfriend will like it,it s a beautiful drive
it s a beautiful drive,where are the keys
where are the keys,just a moment sir we have to finish filling out the forms
i am worried tom i have not seen any other cars for almost an hour,i know this is terrible what can we do this snow does not stop falling
i wanted to show you the cabin we only had another half hour to go,well now we are stuck what can we do
well now we are stuck what can we do,i do not know
i do not know,i have heard that when this happens it s important to save energy
i have heard that when this happens it s important to save energy,what do you mean
days,yes it happens that is what happens in big snowstorms people get stranded for days
yes it happens that is what happens in big snowstorms people get stranded for days,oh my god it s good we have food
well sir i believe your fifth anniversary is a great time to propose,okay i ve decided i m going to pop the question
okay i ve decided i m going to pop the question,fabulous we should look at engagement rings then now that s a whole other section
ah no damn it,it s a blackout now i can not see seinfeld
it s a blackout now i can not see seinfeld,so what i just lost one hour s worth of work
so what i just lost one hour s worth of work,really how could you do that do not you save every couple minutes
i hate computers sometimes i think they cause more trouble than they are worth,what are we going to do now
what are we going to do now,i do not know i feel like going out
i do not know i feel like going out,i wonder how much of the city is down
i wonder how much of the city is down,it does not matter i still can go out and buy a beer
thanks i think i will try where are you going,i like your idea of getting a beer i think i will go out myself
how many students are in the class,about fourteen
can you finish your homework in ten minutes,it will be a piece of cake
mom will you have time to help me with my homework today,sorry i will not i will be working against the clock to finish my presentation
may i have a look at that vase please,of course it s the best one i have here and it s only yuan
of course it s the best one i have here and it s only yuan,oh it s really nice but to tell the truth that is far too expensive
oh it s really nice but to tell the truth that is far too expensive,really even for such an excellent one
can you give me a hand with the dishes,sure should i wash or dry
sure should i wash or dry,i wash and you will dry
i wash and you will dry,ok let s do it
thanks for inviting me over for dinner this evening,you are welcome
you are welcome,it looks delicious
it looks delicious,well here help yourself to some shrimp it s fresh
by air or by sea,by air so my gift should be quite light what can you suggest
by air so my gift should be quite light what can you suggest,how about this wallet it s made of fine leather
how about this wallet it s made of fine leather,my sister already gave him one i like something unusual
my sister already gave him one i like something unusual,this gift is the best for a man who has everything
this gift is the best for a man who has everything,oh a nice handkerchief that is a great idea i will take it
i am concerned about your car,it will be fine
it will be fine,but i think i can help to fix it
but i think i can help to fix it,no do not give it another thought
i would like you to do me a favor,what is it
sir would you like some dessert now,please show me the menu again
please show me the menu again,here you are sir the chocolate cake is very delicious
here you are sir the chocolate cake is very delicious,no thanks i do not like chocolate i would like strawberry pie
no thanks i do not like chocolate i would like strawberry pie,i am afraid there is none
i am afraid there is none,then i will have vanilla ice cream
then i will have vanilla ice cream,fine i will bring it right away
have you tried the internet,no not yet can you find a good price there
no not yet can you find a good price there,wow you really live in the stone age mom
wow you really live in the stone age mom,well you don t have to be mean how do i do it
o k thanks i ll let you know what i find,all right
all right,i ll look for a ticket for you too
ben what are you doing,well i would say that i m just drifting here in the pool
well i would say that i m just drifting here in the pool,why
why,well it s very comfortable just to drift here
well it s very comfortable just to drift here,have you thought about graduate school
have you thought about graduate school,no
oh good,how much will it cost
taxi,i can t find the business card do you know the address
i can t find the business card do you know the address,yeah i met with them back in march remember
yeah i met with them back in march remember,right
right,driver pennsylvania ave please
hey buddy can t you see there s a line,oh sorry i didn t know
oh sorry i didn t know,what you haven t taken the bus before
what you haven t taken the bus before,no i m afraid not
sorry,it s all right where are you going
it s all right where are you going,i wanted to see the white house
i wanted to see the white house,oh well you don t want this bus anyway it goes to georgetown
oh well you don t want this bus anyway it goes to georgetown,oh no
oh well thank you very much,you re welcome
so how can i make it,first you make a list of what you wanna buy
first you make a list of what you wanna buy,but i ve gotta have the budge before anything else
but i ve gotta have the budge before anything else,well that s a problem isn t it
hello vicki,hi david what a beautiful necklace dude i ve never seen anything like it
hi david what a beautiful necklace dude i ve never seen anything like it,well you can have it for eleven hundred as a friend
well you can have it for eleven hundred as a friend,i think seven hundred is enough
i think seven hundred is enough,what seven hundred
what seven hundred,well eight hundred then
well eight hundred then,no one thousand at least
no one thousand at least,eight hundred and fifty come on i have kids dogs and husbands to feed
eight hundred and fifty come on i have kids dogs and husbands to feed,you re a thief vicki but i guess eight hundred and fifty is all right
you re a thief vicki but i guess eight hundred and fifty is all right,here you are sucker
here you are sucker,victory for me i bought it for bucks just yesterday
do you sell washing machines,yes we re having a special sale on this machine here
yes we re having a special sale on this machine here,is that a danish machine the name looks danish
is that a danish machine the name looks danish,no it s swedish would you like me to demonstrate it for you
no it s swedish would you like me to demonstrate it for you,sure i d like to see how it washes
look all you do is press that button and it s ready to use,then what about the wire
then what about the wire,just make sure you never touch the wire
just make sure you never touch the wire,so i know thanks
how are the children doing in your class jane,they re all doing fine let me show you some of their pictures
they re all doing fine let me show you some of their pictures,which child is this
which child is this,that s charles
that s charles,what a large child
what a large child,all my children are large
all my children are large,and which child is this
and which child is this,that s james
that s james,what an agile child
what an agile child,all my children are agile
all my children are agile,now which child is this
now which child is this,that s joanna joanna hopes to go to college
that s joanna joanna hopes to go to college,mm all my children hope to go to college right
what are you doing victor,i m making a list of food and drinks
i m making a list of food and drinks,what for
what for,what for for the party of course
what for for the party of course,party what party
party what party,we re having a valentine s day party
we re having a valentine s day party,oh i forget who s invited
oh i forget who s invited,we ve invited all our sophomore friends from school
we ve invited all our sophomore friends from school,can i help you get ready
ok just leave it to me i ll take care of it,thanks see you at five don t forget to bring your valentine
i m sorry but how do i know the subway train is going south,the southbound a trains say brooklyn
the southbound a trains say brooklyn,o k so it s this one
oh sorry,jeez tourists
good morning i m looking for a one bedroom apartment downtown,certainly sir how much rent did you want to pay
certainly sir how much rent did you want to pay,well i didn t want to pay more than a month
i wonder if i can see your mother little boy is she engaged,engaged she s married
engaged she s married,johnny i wish you d stop reaching for things haven t you a tongue
johnny i wish you d stop reaching for things haven t you a tongue,yes mother but my arm is longer
hi i d like to have my phone turned on please,at what address sir
at what address sir,lincoln avenue oklahoma city
lincoln avenue oklahoma city,o k your name please
o k your name please,john smith
john smith,one moment please very well mr smith i need to ask you a few questions
one moment please very well mr smith i need to ask you a few questions,very well
very well,the interview will take about minutes and your phone will be turned on in hours
good morning sir can i help you,good day i m looking for a one bedroom apartment today
good day i m looking for a one bedroom apartment today,certainly how much rent did you want to pay
certainly how much rent did you want to pay,well i didn t want to pay more than a month
no thank you i want to take an apartment not a prison,ok we would do as your requirement and we ll contact with you later
where s the wagon,where s what wagon
where s what wagon,the water wagon
the water wagon,what water wagon
what water wagon,the wagon with the water of course
the wagon with the water of course,that s my wagon i need the water to water my flowers in the yard
the road ahead is blocked there might have been an accident,are there many accidents in the city every day
are there many accidents in the city every day,not really but they are on the rise
not really but they are on the rise,please drive slowly we have got lots of time safety first
my shirt needs ironing could you please help me with that mary,no way do it yourself
no way do it yourself,please i promise this is the last time
my pleasure this tea towel s a little ragged do you have another one,yes look in that drawer i should throw the old one out
yes look in that drawer i should throw the old one out,keep it and use it as rag you can clean your bicycle with it
hello i need to disconnect my phone please,all right where do you live sir
all right where do you live sir,at lincoln avenue oklahoma city
at lincoln avenue oklahoma city,very well why do you want to disconnect your phone sir
very well why do you want to disconnect your phone sir,i m moving to a new home
i m moving to a new home,o k may i have your name please
o k may i have your name please,john smith
john smith,thank you mr smith what s your telephone number
thank you mr smith what s your telephone number,
,thank you where should i send your final phone bill
thank you where should i send your final phone bill,west side drive new york new york
would you like a cup of coffee,no thank you
no thank you,i am going to get one for myself they make really good coffee here
i am going to get one for myself they make really good coffee here,on second thought i will have a cup
i am very sorry sir my car has broken down,sorry to hear that can we do anything about it
sorry to hear that can we do anything about it,i am afraid not
i am afraid not,then i have to call another taxi or i will be late
good morning ms chan what can i get you today,good morning mr church i d like some lamb chops for the children s lunch
good morning mr church i d like some lamb chops for the children s lunch,shoulder chops ms chan
shoulder chops ms chan,yes i ll take four shoulder chops and i d like a small chicken
yes i ll take four shoulder chops and i d like a small chicken,would you like to choose a chicken
would you like to choose a chicken,which one is cheaper
which one is cheaper,this one is our cheapest
mom can we get cable tv or a satellite dish,it costs money dear what s wrong with the regular television stations
it costs money dear what s wrong with the regular television stations,the shows are dull and they re too many advertisements
the shows are dull and they re too many advertisements,well you already watch too much tv instead of doing your homework anyway
well you already watch too much tv instead of doing your homework anyway,there re educational stations too i could learn while i watched tv
there re educational stations too i could learn while i watched tv,well that s true but you d probably only watch cartoons and action movies
well that s true but you d probably only watch cartoons and action movies,no i wouldn t can t we get cable everybody has cable
no i wouldn t can t we get cable everybody has cable,well if everybody jumped off a bridge would you jump too
well if everybody jumped off a bridge would you jump too,mom please all my friends have had it for years
mom please all my friends have had it for years,get new friends
get new friends,why are you always so mean
why are you always so mean,because you d end up spoiled rotten if i wasn t
because you d end up spoiled rotten if i wasn t,i could help pay for it
i am afraid we will be late for the party,have you got the time tom
how long will it take us to get there,i think about ten minutes by bus
i think about ten minutes by bus,it s not far away then let s walk it s beginning to rain
hello this is wal mart can i help you,hello what time do you close please
hello what time do you close please,we close at every day and we open at in the morning
we close at every day and we open at in the morning,oh ok and are you open on the weekends
oh ok and are you open on the weekends,same hours as on the weekdays
yes it runs till the end of the month but things are clearing out fast,ok i will come down tonight thanks
ok i will come down tonight thanks,thank you for calling
good morning craftsman company can i help you,uh yeah hi is susie there
uh yeah hi is susie there,you must have dialed the wrong number
you must have dialed the wrong number,oh i am sorry but is this
oh i am sorry but is this,sorry this is
sorry this is,i am really sorry
i am really sorry,it s ok
hello barneys garage,hello mr higgins please
hello mr higgins please,he just stepped out can i take a message
i will make sure he receives the message,that is fine
that is fine,thanks for calling
hello,good morning ruth did i wake you up
good morning ruth did i wake you up,no i was just about to get up what is up carl
b as in boy you should get off at the last stop in chinatown,oh you mean canal street
oh you mean canal street,that is the wrong direction canal street is on the other side of chinatown
that is the wrong direction canal street is on the other side of chinatown,oh i get it when did we decide to meet
oh i get it when did we decide to meet,at is ann coming along
at is ann coming along,i cannot get hold of her yet
i cannot get hold of her yet,see you around carl
see you around carl,see you later
hi welcome to the belt department can i help you today,yes i need a belt that is kind of casual and kind of dressy
yes i need a belt that is kind of casual and kind of dressy,then perhaps a leather belt would work come here let me show you some
then perhaps a leather belt would work come here let me show you some,all right thanks a lot
can i stay out all night with my friends,no way
no way,but we will be careful
but we will be careful,it s out of the question
you have to finish your dinner before you leave the table,but mom i can not eat anymore i am stuffed
but mom i can not eat anymore i am stuffed,what is the matter it does not taste good
harry come here immediately,what
what,do not take that tone with me i saw you hit your brother
do not take that tone with me i saw you hit your brother,no he hit me first
is it true that rice is the staple food in most of southeast asia,i am not an expert but that is the impression i have
i am not an expert but that is the impression i have,is rice your staple food too
is rice your staple food too,needless to say as a westerner it s bread
it s nice but still too expensive can you give me a discount,no is my last word
no is my last word,come on let s split the difference
look out a small boy is rushing out blindly,gee how dangerous i have almost knocked him down
gee how dangerous i have almost knocked him down,you stopped just in time good for you
you stopped just in time good for you,i braked as hard as i could
have you moved into your new house yet michael,we just moved in yesterday actually
we just moved in yesterday actually,so what do you think about the place are you glad that you moved in
so what do you think about the place are you glad that you moved in,it s great unfortunately we are going to spend a fortune doing everything up
it s great unfortunately we are going to spend a fortune doing everything up,how old is the house then
how old is the house then,it s about years old it has a lot of history
it s about years old it has a lot of history,sounds fascinating where is your new house located
sounds fascinating where is your new house located,it s just off of the ring road
it s just off of the ring road,do you have a big yard
read jimmy s card to me please janey,i have just arrived in scotland and i am staying at a youth hostel
i have just arrived in scotland and i am staying at a youth hostel,eh
the what,the y h a mun the youth hostel s association
the y h a mun the youth hostel s association,what else does he say
what else does he say,i will write a letter soon i hope you are all well
i will write a letter soon i hope you are all well,what speak up janey i am afraid i can not hear you
is that all he does not say very much does he,he can not write very much on a card mum
i am hungry let s go to the snack bar,ok what unusual food do you want to try
ok what unusual food do you want to try,i am going to try gado gado
i am going to try gado gado,what is that
what is that,it s a kind of rice ball that is made in malaysia what about you
it s a kind of rice ball that is made in malaysia what about you,i do not know i do not know what most of this food is
i do not know i do not know what most of this food is,do you want noodles vegetables rice meat seafood beans or dessert
do you want noodles vegetables rice meat seafood beans or dessert,i would like to have some vegetables first
i would like to have some vegetables first,have you ever tried tempura
have you ever tried tempura,no what is it
no what is it,it s deep fried vegetables which is commonly eaten in japan
it s deep fried vegetables which is commonly eaten in japan,what do you use to eat it
would you like to take a look at the menu sir,yes thank you
yes thank you,would you care for a drink before you order
would you care for a drink before you order,a glass of qingdao beer
a glass of qingdao beer,yes sir i will bring it over have you decided what you would like sir
yes sir i will bring it over have you decided what you would like sir,will you make some recommendation
what did you say,i said it s a lovely day why do not we go for a walk
i said it s a lovely day why do not we go for a walk,well i feel a little tired
well i feel a little tired,come on a little labor much health
come on a little labor much health,then can you wait a few minutes i want to finish writing this letter
could i have my bill please,certainly sir
certainly sir,i am afraid there has been a mistake
i am afraid there has been a mistake,i am sorry sir what seems to be the trouble
excuse me miss could i have something to drink please,sure what would you like
sure what would you like,is it possible to get a beer
i finally found an apartment that i want to rent,where did you see it
where did you see it,i saw it in this ad for apartments in today s newspaper
i saw it in this ad for apartments in today s newspaper,you found an apartment in the ads
tell me about the apartment,well most importantly the apartment is beautiful
well most importantly the apartment is beautiful,how much is the rent for the apartment
how much is the rent for the apartment,the rent is each month
the rent is each month,that s pretty cheap for out here
that s pretty cheap for out here,that s what i said when i found out how much the rent was
that s what i said when i found out how much the rent was,congratulations on the new apartment
excuse me,yes
yes,is this your handbag
is this your handbag,pardon
pardon,is this your handbag
is this your handbag,yes it is thank you very much
what do you think of this dress do you think it suits me,sure why don t you try it on the fitting room is over there
sure why don t you try it on the fitting room is over there,it s just the right size a perfect fit have you seen anything you like
don t worry i ve got my credit card you can pay me back later,thanks now i don t need to come back to the shop a second time
what do you think this flat,it s not really all that good the bedroom is a little small for us
it s not really all that good the bedroom is a little small for us,small but it should be enough for our needs i think
true and i like the kitchen it s new and well equipped,it has a great balcony with an incredible view of the park
may be we could get some new furniture better stuff,i have not thought of that
this apartment is wonderful,i m glad you like it
i m glad you like it,how much would i have to pay for rent
how much would i have to pay for rent,the rent is each month
the rent is each month,that s way too much money
that s way too much money,it isn t too much
it isn t too much,how about if i pay
how about if i pay,i can t take that
i can t take that,i can t go any higher than
i can t go any higher than,i honestly don t know what else to tell you
i honestly don t know what else to tell you,you can t go any lower than that
you can t go any lower than that,if you can t afford then we have no deal
yes they are how many would you like and of which color,i ll take three light blue ones please
i ll take three light blue ones please,are you looking for a casual jacket or something formal
may i speak to the apartment building manager please,i am the manager how can i help you
i am the manager how can i help you,i was hoping that the apartment on main street was still available
i was hoping that the apartment on main street was still available,why yes it is would you like to get a look inside the apartment
why yes it is would you like to get a look inside the apartment,yes it would be nice to see the apartment
yes it would be nice to see the apartment,how about today at o clock
how about today at o clock,yes i can be there at
yes i can be there at,sounds good i will see you at do you want directions
sounds good i will see you at do you want directions,i am okay thank you i already checked out the address on mapquest
is there anything that i need to bring with me,no i will not need to see anything except your driver s license
i don t think that it is looking any better inside here,i think that fresh paint and cleaning would help it look a little better
i think that fresh paint and cleaning would help it look a little better,it is just too dark in here with so few windows
it is just too dark in here with so few windows,i hear that the kitchen is quite large let s go check it out
i hear that the kitchen is quite large let s go check it out,the kitchen may be large but it doesn t have any storage space
oh i am not sure i even want to look at this house,it is a bit of a fixer upper let s take a look inside
it is a bit of a fixer upper let s take a look inside,it doesn t look much better inside this place
there are hardly any windows in here and that makes it really gloomy,let s go check out the kitchen the printout says that it is quite large
let s go check out the kitchen the printout says that it is quite large,look at those broken tile countertops and the peeling wallpaper
look at those broken tile countertops and the peeling wallpaper,maybe the master suite has some redeeming qualities follow me please
maybe the master suite has some redeeming qualities follow me please,what s that smell
what s that smell,perhaps we should move on to the next listing
hi can i speak with the apartment manager please,hello this is the apartment manager speaking
hello this is the apartment manager speaking,i am calling about the apartment for rent on main street
i am calling about the apartment for rent on main street,would you be interested in seeing the apartment
would you be interested in seeing the apartment,i would love to see it
i would love to see it,are you free today at around p m
are you free today at around p m,yes i will be able to make it then
yes i will be able to make it then,well i will see you at p m do you know how to get there
well i will see you at p m do you know how to get there,i used to live in that area
i used to live in that area,i will give you an application form when i see you
i will give you an application form when i see you,that sounds good do i need to bring anything
that sounds good do i need to bring anything,no just bring yourself
how are you today,great thanks
great thanks,can i help you
can i help you,i would actually like to view the apartment for rent today
i would actually like to view the apartment for rent today,i m sorry but you won t be able to view it today
i m sorry but you won t be able to view it today,why not
why not,you have to make an appointment first
you have to make an appointment first,oh okay can i do that right now
oh okay can i do that right now,is this friday okay
is this friday okay,is o clock friday evening okay
is o clock friday evening okay,yes i will schedule you for that time
yes i will schedule you for that time,thank you very much see you then
how s it going,i m fine thank you
i m fine thank you,did you need help with something
did you need help with something,if i could i would like to view the apartment sometime today
if i could i would like to view the apartment sometime today,that won t be possible today
that won t be possible today,why is that
why is that,you can only view the apartment with an appointment
you can only view the apartment with an appointment,i would like to make one right now if i can
i would like to make one right now if i can,are you available this friday
are you available this friday,can we do it at o clock
can we do it at o clock,your appointment for friday at pm has been confirmed
your appointment for friday at pm has been confirmed,all right i ll see you on friday
could i speak to the apartment manager,i am the apartment manager how can i help you
i am the apartment manager how can i help you,i wanted to know if that apartment on main street is still for rent
i wanted to know if that apartment on main street is still for rent,i have not rented it out yet would you like to see it
i have not rented it out yet would you like to see it,yes i want to see it
yes i want to see it,how about today at p m
how about today at p m,that time is okay with me
that time is okay with me,very good we will meet at do you need directions
very good we will meet at do you need directions,no thank you i go by there on my way to work
no thank you i go by there on my way to work,if you are interested you can fill out an application form
if you are interested you can fill out an application form,that is a good idea do i need to bring anything myself
that is a good idea do i need to bring anything myself,no the only thing i need to see is your driver s license
what are your thoughts on the apartment,i think that it s absolutely gorgeous
i think that it s absolutely gorgeous,there aren t any problems with the apartment
there aren t any problems with the apartment,i think that the apartment looks very nice but i do see some problems
i think that the apartment looks very nice but i do see some problems,what problems
what problems,i did notice a few stains in the carpet
i did notice a few stains in the carpet,we will have the carpet cleaned before you move in
we will have the carpet cleaned before you move in,you will
you will,yes but other than that are there any more problems
yes but other than that are there any more problems,that was the only thing that i saw that was wrong with the apartment
that was the only thing that i saw that was wrong with the apartment,i m happy that you find this apartment so appealing
i m happy that you find this apartment so appealing,it is i love it
what do you think about the apartment so far,it is beautiful
it is beautiful,you don t have any problems with how it looks
you don t have any problems with how it looks,actually there is a problem
actually there is a problem,like what
like what,there are some stains that were left in the carpet
there are some stains that were left in the carpet,those stains will be cleaned out of the carpet before you move in
those stains will be cleaned out of the carpet before you move in,oh is that right
oh is that right,yes now what other problems do you have
yes now what other problems do you have,that was the only problem that i saw
that was the only problem that i saw,well i m glad that everything else is to your liking
well i m glad that everything else is to your liking,i honestly love it
how are you doing,everything s fine with me
everything s fine with me,what can i do for you today
what can i do for you today,is it possible for me to view the apartment today
is it possible for me to view the apartment today,unfortunately you will not be able to view it today
unfortunately you will not be able to view it today,why can t i view it today
why can t i view it today,you ll need to make an appointment to view the apartment
you ll need to make an appointment to view the apartment,i understand may i make an appointment then
i understand may i make an appointment then,how does this friday sound
how does this friday sound,friday at pm would be perfect
friday at pm would be perfect,that will be fine
that will be fine,thanks for your help
do you like the apartment,i absolutely love the apartment
i absolutely love the apartment,everything is okay
everything is okay,i do have one problem with the apartment
i do have one problem with the apartment,what s the problem
what s the problem,i don t like all those stains in the carpet
i don t like all those stains in the carpet,we will have the carpet cleaned before you move into the apartment
we will have the carpet cleaned before you move into the apartment,i did not know that
that was the only thing that i saw wrong with the apartment,i m glad to know that you think the apartment is so nice
i m glad to know that you think the apartment is so nice,it s absolutely incredible i ll take it
i would love to rent out your apartment,that s great
that s great,how much is the rent
how much is the rent,the rent each month is
the rent each month is,that s a lot of money
that s a lot of money,did you have a better price in mind
did you have a better price in mind,what about
what about,that s way too low
that s way too low,i can t pay much more than that
i can t pay much more than that,how about a month
how about a month,that would be fine
that would be fine,great it was a pleasure doing business with you
can i require the owners to fix the problems,you can make the sale of the house contingent on them fixing the problems
you can make the sale of the house contingent on them fixing the problems,what did you find out when you did the inspection of my new home
that will be good you are going to want your stove and refrigerator right away,i could use some help on moving day what are you doing on saturday
hello i was wondering if i could talk with the apartment manager,i am the apartment manager how can i help you
i am the apartment manager how can i help you,i was wondering if the apartment on main street is still available
i was wondering if the apartment on main street is still available,yes it s still vacant are you interested in seeing it
yes it s still vacant are you interested in seeing it,yes i would love to see the apartment
yes i would love to see the apartment,i will be at the apartment today at
i will be at the apartment today at,yes i can be there at
yes i can be there at,great i will see you at do you know where it is
great i will see you at do you know where it is,yes i have a friend who lives in that neighborhood
yes i have a friend who lives in that neighborhood,i will be bringing an application form
i will be bringing an application form,ok should i bring anything with me
ok should i bring anything with me,no i might need to see your id card but that is about it
i had a home inspection before but didn t really understand it,i help you spot potential problems with the home before you purchase it
i would like to speak with the apartment manager please,this is he what can i do for you
this is he what can i do for you,i am interested in the apartment on main street
i am interested in the apartment on main street,it s still available do you want to see it
it s still available do you want to see it,yes i would very much like to see it
yes i would very much like to see it,does today at p m sound okay to you
does today at p m sound okay to you,i have no problem with p m
i have no problem with p m,okay i will see you at o clock do you need any directions
okay i will see you at o clock do you need any directions,no thanks i already drove by to see what the neighborhood looks like
should i bring anything with me,no i only need to check your driver s license
my pleasure this tea towel s a little ragged do you have another one,yes look in that drawer i should throw the old one out
yes look in that drawer i should throw the old one out,keep it and use it as rag you can clean your bicycle with it
do you think that i should get a new wardrobe,that wardrobe looks quite big is it full of clothes
yes we do we also eat a lot of lamb,yes i ve heard that people in your country like to eat lamb chops
i have the sauce but remind me to get some catchup at the shop,how long does it take to cook meat on the barbecue
they can cook them themselves to make sure exactly how they like it,i hope you haven t invited any vegetarians
what s wrong with it,part of the motor is loose i can put it back in place quite easily
part of the motor is loose i can put it back in place quite easily,that s great thanks very much would you like a cup of tea or coffee
mom i hate eating vegetables,you don t have to eat them i don t mind
you don t have to eat them i don t mind,thanks mom can i have dessert now i love chocolate cake
thanks mom can i have dessert now i love chocolate cake,no dessert for you unless you eat all of your vegetables
no dessert for you unless you eat all of your vegetables,but i don t like them it s not fair
what would you like for dessert,what do you have
what do you have,i have apple pie ice cream chocolate cake and fruit cocktail
i have apple pie ice cream chocolate cake and fruit cocktail,can i have apple pie with ice cream
can i have apple pie with ice cream,of course i made the apple pie this morning so it s lovely and fresh
sure can you get it yourself it s in the refrigerator,ok would you like a drink too
ok would you like a drink too,yes i ll have an ice tea you see it next to the lemonade
yes i ll have an ice tea you see it next to the lemonade,are you having any dessert
hey jim it s time to wake up and get out of bed,do i have to get up now
do i have to get up now,you would better get up or you will be late
you would better get up or you will be late,what are you talking about my alarm even has not gone off yet
i must have slept right through it,rise and shine sleepyhead
rise and shine sleepyhead,just let me sleep five more minutes
just let me sleep five more minutes,the early bird gets the worm
the early bird gets the worm,i know i know but i do not want any worms
i think i may rent this apartment from you,that s great to hear
that s great to hear,how much are you looking to rent it for
how much are you looking to rent it for,for each month you would have to pay
for each month you would have to pay,that is too expensive
that is too expensive,i don t think that is too much for rent
i don t think that is too much for rent,how does a month sound to you
how does a month sound to you,that s not enough
that s not enough,that s the best that i can do
that s the best that i can do,a month is not enough money
a month is not enough money,would you please reconsider
would you please reconsider,that s my final offer take it or leave it
i think i may rent this apartment from you,that would be wonderful
that would be wonderful,can you tell me how much i would have to pay for rent
can you tell me how much i would have to pay for rent,the rent is every month
the rent is every month,that s way too much
that s way too much,what is good for you
what is good for you,i can afford about a month for rent
i can afford about a month for rent,that s not high enough
that s not high enough,how much more are you thinking
how much more are you thinking,i can let it go at a month
i can let it go at a month,that s almost perfect
that s almost perfect,i can live with that too
can you tell me the best way to look for an apartment,the local newspaper has ads for housing
the local newspaper has ads for housing,is there any way to find a roommate to share an apartment with
is there any way to find a roommate to share an apartment with,sometimes you can post an advertisement saying that you need a roommate
sometimes you can post an advertisement saying that you need a roommate,what do landlords charge for rent
there are two of us but we only need a one bedroom apartment,you should be able to easily find that for twelve hundred dollars a month
you should be able to easily find that for twelve hundred dollars a month,i really would appreciate it if you could come look at apartments with me
i really would appreciate it if you could come look at apartments with me,sure i ll go look at apartments with you anytime you want
when you need an apartment where do you look for one,our school has a link on its website for apartments
our school has a link on its website for apartments,can i share an apartment with someone
can i share an apartment with someone,some of the ads in the paper are from people looking for roommates
some of the ads in the paper are from people looking for roommates,are apartments expensive in this city
are apartments expensive in this city,do you need a single apartment or is this for two people
do you need a single apartment or is this for two people,i want a two bedroom apartment
i want a two bedroom apartment,you can get that type of apartment for around fifteen hundred dollars a month
you can get that type of apartment for around fifteen hundred dollars a month,would you have time to go look at apartments with me
would you have time to go look at apartments with me,i love apartment hunting i ll be happy to go with you
i want to rent this apartment,i m glad to hear that
i m glad to hear that,how much are you asking
how much are you asking,you will have to pay every month
you will have to pay every month,i can t afford that
i can t afford that,what can you afford
what can you afford,i was thinking a month
i was thinking a month,i ll need you to pay more than that
i ll need you to pay more than that,how much more
how much more,how does every month sound to you
how does every month sound to you,i can live with that
i can live with that,we have a deal then
how did you find your apartment,you can check on the bulletin boards at school for local housing
you can check on the bulletin boards at school for local housing,what if i need a roommate
what if i need a roommate,there are websites that can hook you up with a roommate
there are websites that can hook you up with a roommate,how much do apartments cost around here
how much do apartments cost around here,it depends on what you want do you want a one or two bedroom apartment
it depends on what you want do you want a one or two bedroom apartment,i just need a one bedroom apartment
i just need a one bedroom apartment,that will probably cost you around twelve hundred dollars a month
that will probably cost you around twelve hundred dollars a month,would you come with me to look at apartments
would you come with me to look at apartments,i would be happy to look at apartments with you
it s time for bed,but i am not sleepy mum can i stay and watch more tv
oh i nearly forgot the exams,you do well in maths but your history is not good enough am i right
i would love to rent this apartment,i m happy to hear you say that
i m happy to hear you say that,how much are you asking for every month
how much are you asking for every month,i m renting this apartment out for a month
i m renting this apartment out for a month,that is quite a lot of money for just one month
that is quite a lot of money for just one month,that is a fair price
that is a fair price,what do you say to a month
what do you say to a month,that s no good
that s no good,it s either or nothing at all
it s either or nothing at all,i won t go any lower than
i won t go any lower than,could you please go lower
could you please go lower,that s the best i can do
i found an apartment to rent,where did you find this apartment
where did you find this apartment,i found it in today s apartment ads
i found it in today s apartment ads,really i can t believe you actually found an apartment in the ads
really i can t believe you actually found an apartment in the ads,i actually found it in the ads and it s not too expensive either
i actually found it in the ads and it s not too expensive either,i want to hear more about this apartment
i want to hear more about this apartment,all you really need to know is that the apartment looks great
all you really need to know is that the apartment looks great,how much will you have to pay for rent
how much will you have to pay for rent,every month i d only have to pay
every month i d only have to pay,for where we live that is really inexpensive
for where we live that is really inexpensive,it is isn t it
it is isn t it,i m glad to hear that you finally found an apartment
i would like to help pitch in with dinner,really you are joking
really you are joking,no i would like to do something special for you on your birthday
no i would like to do something special for you on your birthday,i would like that alright put on this apron first
i would like that alright put on this apron first,ok now how can i help hon
ok now how can i help hon,hmm let me see boil some water and then whisk two eggs
hmm let me see boil some water and then whisk two eggs,easy i can do that with my eyes closed done
easy i can do that with my eyes closed done,not bad ok now take some meat and potatoes from the fridge
not bad ok now take some meat and potatoes from the fridge,how many potatoes do you need
how many potatoes do you need,three and bring four bell peppers
