questions,answers
how do we stand,bout even
sure,you hustlin me
so does eddie,well i win sometimes
hey findley s here,where
where,over there by the bar
hello eddie,hi how s business
sign up,where do i sign
i been thinking,thinking about what
seventy five per cent,for who
for who,for me
i am buyin,thought you only drank milk
thought you only drank milk,only when i work
only when i work,yeah why
i lost twenty bucks,poker s not your game
poker s not your game,what is
what is,pool
pool,you being cute
character,yeah sure sure
bourbon j t s brown,two
make it twenty,cut
cut,deal
okay,sit down
he is my partner,you well heeled partner
yeah that is right,want some free advice
just like that,yeah just like that
no it is not charlie,eddie
how do you feel,fast and loose man
fast and loose man,in the gut i mean
in the gut i mean,i feel tight but good
here been an interestin evening,yeah sure has
yeah you must come again,yeah sure
findley,glad to meet you
what is the limit,half and a dollar
half and a dollar,gimme ten bucks
gimme ten bucks,ten dollars
you quittin friend,yeah i am quittin
okay friend you are on,call it
call it,heads
how much are you ahead,couple of bucks
try me,shoot
shoot,okay
hi,hi
well what is the matter,i am a little tired
where is bert,he went off someplace
why,just for luck
fifty seven,i will be up later
leave now,oh grow up
oh grow up,why should i
no i want to walk,come here come on now
what is it eddie,nothin want another drink
for how long,oh i do not know
oh i do not know,a week a year
you glad,yes i am glad
i love you,you need the words
would he know,he knows a lot
he knows a lot,why did he tell you
he is a gambler,is he a winner
is he a winner,well he owns things
you wanna drink,no you
who is it,me it s eddie
you going out,yeah for a little while
where you been all day,at school it s thursday
at school it s thursday,oh i forgot
why,come here
i am not,so why go to college
i drink,hey
no,fifth of scotch
have a nice trip,fair
fair,can i sit down
have a nice trip,thanks i will
what bus,yours
yours,eight o clock
how long you been waiting,what
long wait for a bus,yes
you name it,thousand dollars a game
where do you come from,california oakland
you want me to stay,yes
mine,have you always had it
have you always had it,i do not know
i do not know,have you looked inside
have you looked inside,yes
yes,what is inside
what is inside,humans
humans,who
who,i do not know
what do you want,what do you mean
what do you mean,you know what i mean
you want to find them,yes
yes,you want to kill them
what,where you lived with them
was this beautiful before,yes
who is this,my wife
what about now,with them
with them,yes
yes,we move place to place
are you all right,yes
you lived like this once,that is not now human
that is not now human,my name is robert
virginia,what
bathroom,round back
hell of a night,you got that right
need some gas,please
please,only got one kind
only got one kind,that is fine
i was so scared,better now son
i had an awful dream,what jim what
are you all right dad,sure fine
son are you awake,yes
i am home now,yes but
where is your car,i left it at work
is that all he said,why yes why
yes i do mr gardner,may i ask why
damn,i know a way
who are you calling,the state police
i swear it was here,but it s not jimmy
but it s not jimmy,no
i do not see anything,no but it was here
i would believe him,why
why,cause he would not lie
hi sorry i am late,the back door was open
oh,what is his family background
are you all right,did it work
did it work,you bet it did
you still believe in him,he is a good man
what,connie do not hang up
then what,checkmate
what happened,just do it
can you believe this,what are you talking about
what are you talking about,have not you been watching
what the hell is this,so sue me
pops you are a genius,what would i say
what would i say,a cold of course
i am making a mess,this i can see
spunky,college nickname
college nickname,you try martin
i am thinking,so think already
nice meeting you,you as well
oh shit we are late,we will meet you there
how are we doing,better than we thought
where are they,eta with target four minutes
a meteor,no sir definitely not
no sir definitely not,how do you know
it s doing what,it s slowing down sir
yeah but what an entrance,dick weed
dick weed,butt munch
you are late,you know me
yes i am,dick weed
dick weed,butt munch
what,be careful
i am a dancer,really ballet
really ballet,no exotic
no exotic,oh sorry
your son,he is my angel
he is my angel,was his father stationed here
stevie i can not,jimmy stay with me
we are already over mach,so push it
stop it,it s all fuzzy
mr president,deploy
here now,and before here
and before here,many worlds
yes,egyptian mail morning edition run
egyptian mail morning edition run,did you say uh uh
yes,papers sir got it here
oh what your servant sir,and i am his
what about you,i am going after dad
alexandretta now we know,yes now we know
look indy the roman numerals,dad was onto something here
venice italy,what is it
your treat,yes my treat
all your life,all my life
marcus i did it,you have got it
look what you did,it s war
henry the pen,what
marcus,arghhh oh
i am through,we are through
this,the grail diary
the grail diary,uh huh
my room,mine too
mine too,what were they looking for
i said go around,you said go between them
do not wander off,what
the ark of the covenant,are you sure
are you sure,pretty sure
fraulein will you permit me,i usually do not
i usually do not,i usually do not either
doctor jones,yes
yes,i knew it was you
uh huh,after you junior
after you junior,yes sir haaa
ready,ready
i like indiana,we named the dog indiana
what did you find junior,junior dad
what did you find dad,me illumination
penitent penitent,the penitent man is humble
dad,junior
dad,you call this archaeology
you call this archaeology,get out of there dad
this is intolerable,this could be close
nice landing,thanks
brody s this way,my diary s in berlin
what about marcus,marcus would agree with me
marcus would agree with me,two selfless martyrs jesus christ
stop,what
what,stop stop
dad,the solution presents itself
this is intolerable,i am out dad
what,head for the fireplace
head for the fireplace,oh
dad,what
what,dad
dad,what
what,dad
what,and the chair
what am i looking for,my lucky charm
my lucky charm,feels like a cigarette lighter
well uh,you did
there were rats dad,rats
they want my diary,yeah
through the library,right
dad,out
out,it s important
it s important,then wait count to twenty
i will take the camels,i do not need camels
i do not need camels,but indy
but indy,no camels
who are you,my name is kazim
dr jones,lao she
lao she,nee chin lie how ma
let up on the brake,what
come one what is wrong,behind you
what you look at indy,just a statue
indy look,that is it pankot palace
indy,okay shorty
wow holy smoke crash landing,step on it short round
no the stones are mine,you are betrayed shiva
i can not,go
yes,so now they believe me
so now they believe me,yes they believe you
wait what are you doing,i am going down
do not catch cold,dr jones
not leftovers,no real food
could not keep away huh,just try and control yourself
what,can you move your arm
can you move your arm,just one arm
a what,a snake
give me your hat,what for
i get it,you got it
you are a lucky man,yeah sure
she is beautiful,you have changed your mind
rene,she works for them
she works for them,now you are too suspicious
be quiet,where have you been
do something,what exactly
what exactly,i do not know
holy,shit it s just money
he hung us up dry,while he makes the run
while he makes the run,where
you sure this will work,not sure at all
i have got an idea,i was afraid of that
it s him,come on
probably,i do not trust her
he was with gruner,you were with gruner
what,never mind just say it
i can not,you have to quickly
what next,drink lots of water
drink it,too late
do not touch a thing,do not worry
what do i do,relax let me do this
sapporo,just stay here and rest
just stay here and rest,where are you going
what do i do,follow her
follow her,on what
on what,run stupid
bingo,you found her
you found her,better i found ryuji
osaka,osaka
osaka,fountainhead of high tech
you been had we have,it was not like that
what happened,i do not know
oh come on,you shut down your sensors
you shut down your sensors,joe it s hours
what is it your charm,this just will not work
not her you,what is it
they are all in it,how do you know
how do you know,voice stress analyzer
which one,the blond gruner a killer
the blond gruner a killer,killer
follow that busboy,are you serious
what glasses,the drinks stay on them
get close to them,that place by the window
which one is she,the beautiful one
much too blue,not blue enough
now where would i be,what are you looking at
it worked,i made it work
well you did it today,yeah i did it
where are you going,to the hotel to register
to the hotel to register,without your pants
what happened,rene
joe,no you idiot
touch her,what
where is she staying,where are you staying
wait,wait
,
you are beautiful,what is happening
try another language,which language
which language,how should i know
she is pretty fast,you are out of shape
beautiful,what was
what was,a girl
now what,the sand
the sand,eat it
eat it,eat it
why not,it s sand
swim,good idea
holy shit,what is it
what is it,just beautiful
now what,the beach
the beach,the beach
eating sushi,just get there
oh yeah to what,you will be me
what about money,what about it
what about it,i do not have any
i do not have any,use my credit cards
use my credit cards,i can not do that
i can not do that,why not
why not,it s illegal
it s illegal,who cares
who cares,i will get in trouble
you mean just leave,we get on a plane
we get on a plane,we get on which plane
i am back,i am at the airport
i am at the airport,good get to a phone
anything a feeling a smell,nothing
what do you mean,black suits and helmets
gone where,do not know
who did,the man
which way do i go,what does it say
what does it say,corridor a
just walk down the hall,with authority
sue them,i will sue
yeah who is,i am you are
i am you are,you are crazy
what do you mean we,you gotta help
i want out,too late they want you
what do i do,outrun them
outrun them,this is a fiesta
behind us,still clear just a motorcycle
no they will not,why not
why not,i will talk to them
i will talk to them,oh gooood
yeah,why he is argumentative
what are you doing,loading a gun
loading a gun,what for
what for,kill myself
kill myself,are you crazy
are you crazy,yep
you are not crazy,hear voices do not i
hear voices do not i,of course you do
of course you do,then i am crazy
i know it sounds insane,you said it
who are you,who am i
who am i,yeah who
somebody s been here,where are we now
do me a favor al,yeah
yeah,shut up
you are in my head,yes
yes,your name is al
your name is al,yes
yes,i see
al,yes
yes,this candid camera
arrrgh,it was not him
it was not him,who was it
who was it,me
me,who
who,al
do not do that,why not
try me,i am inside you
my name is al,al
no not her me,who s you
i said something,i know you did
you just got a mickey,ryuji bandaio grown near here
can you fly this,do not worry
i am against it,i insist
no,oh i can not
oh i can not,good
does not matter,what part what
not that truth,are not we all
they have stolen state property,what a nerve
in him,it s a long story
it s a long story,ya hyutn slulptsa
who s our little man,me
pem,
,newer more powerful design
surveillance cameras,they took the tapes
they took the tapes,you have nothing
i have a new client,that crazy guy
that crazy guy,yes joe
who is your friend,we met on the beach
we met on the beach,join us
al viola,that name s familiar
that name s familiar,it is to me too
sue who,you him ust
ahhh nothing,been complaning of hallucinations
been complaning of hallucinations,not complaining actually
not complaining actually,been hearing voices
not you them,who
who,i do not know who
joe,what
what,take the card
take the card,oh yeah thanks
what,your memory
your memory,what about it
what about it,it may have been affected
it may have been affected,oh
oh,you may not remember things
you may not remember things,what things
oh that is okay,when you do
when you do,do what
do what,when you remember
when you remember,remember what
right,who are you
how do i look,fine you look fine
fine you look fine,thanks
thanks,well
well,well what
well what,we are here
we are here,here
i feel fine,you will feel better
you will feel better,i will
do not do it,just give me the keys
the fresh tuna,yessir very good sir
oh and who is it,i did not say anything
yes what is it,what is what
what is what,what do you want
what do you want,nothing
nothing,what did you say
what did you say,nothing
nothing,what
come on,that is twenty feet high
he can not help us,do something
now what,we just do not stop
kiss her you fool,her
how,what
why did you then,for you
they asked about you,what did you tell them
what happened,i can not fly it
i can not fly it,what would you forget
why not,can you
so do i,this going to work
chiang cho,across the border come on
you have been there,i know the territory
i know the territory,you coming along
i asked him,oh
hong kong,what
where we going,beats me
who was,ryuji and gruner
ryuji and gruner,and dieter
you do not believe me,oh sure
what is it,hiroshima
hiroshima,get your things
you know where he went,what is he done
we are very close,what would he steal
i am leaving too,why
why,this business is over
why,you seemed interesting
they kidded me a little,what did you tell them
he did not,no
no,who did
who did,you did
joe what happened to you,why would you run off
naw made that up,who do you work for
trans ocean travel,is that ryuji
is that ryuji,no ryuji just hires us
no ryuji just hires us,hires you for what
promise you what,that you are not crazy
you are talking to me,and how m i doing
and how m i doing,you are doing okay
you are doing okay,just okay
it s not apparent,and sort of disinterest
and sort of disinterest,disinterest
i am sort of scattered,can i help
can i help,you are
you are,are you alright
i waited for you,why
why,i do not know
you mean from it,yes of course
wait what is your name,rene
i can not do that,do what
do what,let you leave without it
let you leave without it,without what
and you,right here too
right here too,have not seen you around
i will be right there,where
where,dinner tonight
dinner tonight,oh i can not business
blake,blake
blake,the poet something he said
the poet something he said,yes
what about the others,i do not know
is there anything else,a drink
it s alright,it is
just one the back up,could i have it please
tear it apart,yes
yes,ahhh okay
wait,why
why,you can not take that
you can not take that,why not
why not,the experiment the danger
ow,it l be alright
it l be alright,it will
it will,it does not hurt
it does not hurt,no
this the only spare,yes
yes,the other working
the other working,perfectly
right there,thank you
it l take months,so we better get started
so we better get started,what about al
what does he know,too much
hey baby what is wrong,what is that outside daddy
i heard them,where
where,in the backyard
i will take some,instant rice
hi honey,hi daddy
hi daddy,what is new
yeah what for,for reading
that remote control thing,yeah
mom,yes baby
yes baby,there s dad on tv
how long,three hours
three hours,you got a deal
are you all right,yeah catch you later
when s your deadline,monday
monday,push it
push it,what forget it
we gotta hook up,sure where
sure where,p j s
p j s,i will be there
what was that about,get me wigand
get me wigand,sure
sure,fuck is this fuck
what are you cooking,i am cooking pasta primavera
i am cooking pasta primavera,oh i love that stuff
do you want more rice,maybe later
maybe later,how about you
i am afraid you are,no i am not
that computer has everything,you alright mr wigand
a gun yes,what caliber is your gun
what caliber is your gun,what caliber is my gun
okay,catch ya later
debbie,hey lowell
mike mike mike,mike
no no we are fine,are you sure
hi baby,catch you later
hey lowell,how are you jim
okay lowell,yeah
hello,jim it s lowell
where should i wash them,use the bathroom
use the bathroom,what is the difference
what is the difference,that is for food
taping what are you taping,i am doing an interview
soy sauce,right now
why who said,thomas sandefur
thank you bob,who s calling
minutes,yeah
yeah,minutes the television show
minutes the television show,yes
get some perspective lowell,i got perspective
i got perspective,no you do not
jeffrey wigand,jeffrey
i am alone on this,oh baby
will independent sources corroborate that,hello yeah
yeah,you fucked me
you fucked me,who is this
yeah,alright
alright,okay thank you
alright,area code
area code,i will call you then
oh lots,yeah that is right
oh please mike,give me a break
i disappeared on you,alright what did you think
lowell,what
oh man,who are these people
so is everything okay,how are the rooms comfortable
hardly new news,no shit
no shit,what is this
you eating with us,yeah
coffee,yeah thank you
you manipulated me into this,that is bullshit jeff
that is bullshit jeff,you greased the rails
alright the abc telemarketing company,abc
abc,abc telemarketing company
no,no no what
what is changed,you mean since this morning
you mean since this morning,no i mean since whenever
you attract a crowd,yeah great
good but jeff,i will call them lowell
they do this with impunity,jeff
you believe that,no
what did you get us,tempura
the new place new,you okay
did work,did work
what about now,what
object to the form,it acts as a
it acts as a,object
baby you are so hot,howard
you are in a rush,mr dumbarton is yes
who s the pigeon,excuse me
is that one person,here s her picture
that is his lawyer,triple
triple,who s the pigeon
is this mr dumbarton,no
who s next mrs rabinow,we rest your honor
we rest your honor,mr massey
objection your honor,grounds
grounds,uh poetry recitation
my god,what
what,that was marvin untermeyer
that was marvin untermeyer,yes
i have it,you have the pre nup
thanks buddy,is she asian
is she asian,asian no
asian no,well i am still
you are in check,i should be in therapy
i do not need it,you want botox
you want botox,what the hell is botox
it sounded like a bell,i will be right back
you are vulnerable,it s about time
no,you like kids
so who would you hire,ruth rabino
sweet,i thought so
you wounded me first marylin,your forgetting rex rexroth
your forgetting rex rexroth,you are forgetting howard doyle
you are forgetting howard doyle,forgery fraud
forgery fraud,income tax evasion
income tax evasion,murder
murder,murder
hello marylin,hello miles
marylin,it s okay joe
hello,marylin
please leave the house,i fell in love miles
that is blackmail,that is marriage
stuff got a light,what kind of stuff
comfy,what do you want
hi,hello marylin
good are those foods,fabric and fringe
i know,i have a watch
yes miles i accept,you do
what is it miles,i want i want to
we are damaged goods,no we are not
your mother was,oh right you met patricia
she held that against you,apparently she was very disappointed
apparently she was very disappointed,boy boy oh boy
is that you,me yes
me yes,oh and that is mom
oh and that is mom,yeah mom mom and brother
no do not stop,okay miles
hello,miles
miles,yes marylin
but you do not agree,how do you know
how do you know,why would you be here
did you see the tape,not yet
these are yours,not according to mrs rabinow
do you need a tagamet,you have some
hello rex,marylin
forgery and fraud,you used his credit card
is this a lover,please
who s that,jesus
i was devastated of course,thank you mrs rexroth
every week,i am dying
lilly s up,oh god
miles massey,of massey myerson
of massey myerson,do you know him
she did a harriman,wow
wait i know you,yes
marylin rexroth when does she,she is here now
herb wants to see me,when you have a moment
where does that leave us,we have outlined a settlement
ha ha,heh heh
mm,but then but then
mr rexroth,rex please
thank you,now rex
wrigley,miles
get me marylin rexroth doyle,what
what,she owes me a meal
what do you think,what are they
what are they,berry spoons
wrigley,sorry
nothing,and she has
and she has,video
video,what the fuck
three is not farrow,who s rex s guy
ohmary,yes sir
yes sir,how is she
how is she,whyuhshe is all right sir
what ten thousand,the reward
mr warne,yeah
yeah,come in sit down
peter warne,why do you know him
why do you know him,oh nono
is that his name,yes peter warne
no,who is he
ellie,oh hello dad
oh hello dad,i knocked several times
where are you taking me,south america
south america,south america
we have done that already,yes of course
all right let it go,turn
driver,yeah
oh yeah,you win
you bet i did,congratulations
congratulations,same to you
nope,why not
come on come on,what happened
why not i am hungry,eat a carrot
carrots,raw
raw,uh huh want one
sure,what
knowbut,here eat your head off
thought you were hungry,wasbut
wasbut,but what
but what,was so scaredthat it scared
what is the matter,oh peter
oh peter,what is got into you
well take them off,what
peter,what
this is not piggy back,of course it is
of course it is,you are crazy
not a one,you are prejudiced
to new york,yeah
yeah,i am following you
no,okay hang on to these
santa claus,kingking westley was in it
oh thank you thank you,when does the bus leave
when does the bus leave,in about fifteen minutes
in about fifteen minutes,thank you
husband,yesif he is your husband
yesif he is your husband,is not he here
sorryi did not mean to,get out
i am hungry,just your imagination
what time is it,eight o clock
the old man s screwy,what is at
yeah where,up yonder see the lights
up yonder see the lights,yeah
what is up,bridge washed outaround dawson
collect,yes
yes,do not accept any more
mr gordon,huh
well i got it joe,who s she gonna marry
i am joe,you
you,yeah
joe listen,do not joe me
get out of here,wait a minute gordoni
wait a minute gordoni,get out
ai not got a hat,what
funny couple ai not they,yeah
send it collect,collect
collect,collect
yeah,zeke git
zeke git,yes ma
where do you live,orange new jersey
wife,yeah come oncome on
keep saying what,you are not digging
what is the other name,shaw clay shaw
i did,why
oswald,no i did not
no i did not,ever called dean andrews
ever called dean andrews,no i did not
no i did not,thank you mr shaw
what did they,you still questioning any cubans
daddy where have you been,hi freckle face
i am sorry,i know
who,david ferrie
no never heard of him,a perry russo
a perry russo,no
no,a willie o keefe
they killed him honey,huh
hi,tough day
tough day,my sympathies
for sexual purposes,well yeah
time,between six and seven seconds
jim garrison,yes
where were you europe pacific,germany
yes,do you walk home
do you walk home,uh huh
yes,virginia or elizabeth
virginia or elizabeth,virginia
six,and how tall are you
not a problem,thanks
i will call her,will not forget
will not forget,i will not forget
what,i need a favor
you were there for me,who
who,you
she sound scared,she almost sounds scared
she almost sounds scared,what is she want
great you are here,hey jackie
how was your flight,fine
help us do what,help you get ordell robbie
take your time,thanks
what is this,that is my diet shit
my pocketbook,what is in it
what is in it,beauty products
where are you going,spain
spain,madrid or barcelona
i never lied to you,i know
i know,we are partners
set him up,uh huh
in the bag underneath,what if he checks it
you do that,that is my job
and is that it,more or less
how old s annette,i do not care
catching a movie,what would ya see
what would ya see,american president
american president,how was it
well hello,surprise
bigger,yeah
he told me last night,he called you
he called you,he came by
he came by,what what would you do
what what would you do,we talked
this is pretty,uh huh
uh huh,who is this
who is this,the delfonics
the delfonics,
,i think
i think,it s nice
want to hear some music,sure
somebody loan it to you,yeah
if you are having some,i am have a seat
ordell pick up his bond,same as you ten thousand
i beg your pardon,what if i plead guilty
most of the times,not every day
what about me,what about you
not yet,who s the other one
she told you that,uh huh
uh huh,was she there
was she there,she did not say
you talk to him,not really
oh miss brown,yeah
jackie,hi melanie
yeah do you like it,it looks good on you
you think i am kidding,dreaming
beaumont livingston,you already knew that
you already knew that,kinda
uh uh,gimme one anyway
sure,great wanda
oh hi,buy ya a beer
uh huh,who
who,what would you care
a woman,if you want
if you want,yeah i think a woman
beaumont livingston,i knew it
they asked,and what was your answer
got some o j,yeah
this one,you sure
yeah down the end,you sure
we are leaving now,all right already
please,you live with him
is it dead,yeah
wanna fuck,sure
were you a disco guy,no
no,c mon do not lie
c mon do not lie,i do not like dancing
you lived in japan when,about five years ago
about five years ago,who s arm is that
no,where were you
where were you,detroit
detroit,with ordell
yeah,i thought you were sixteen
which one,the roller disco one
the roller disco one,fourteen
want a metrix,what is a metrix
four days ago,where at
where at,susanville
susanville,how long
four years,uh huh
uh huh,what for
what for,bank robbery
bank robbery,really i am impressed
want a hit,sure
jesus christ,what
louis,what
where you shot her,that is right
you shot melanie,twice in the parking lot
twice in the parking lot,could not talk to her
could not talk to her,you know how she is
you shot her twice,uh huh
pretty sure,where did you shoot her
where did you shoot her,in the chest and stomach
it s louis,did you get it
sure,what is your relationship
who was that,that was beaumont
that was beaumont,who was beaumont
louis my man watcha doin,oh i dunno watching tv
oh i dunno watching tv,whatcha watchin
guess where i am,i dunno
you are outside,uh huh
uh huh,c mon in
what is your cost,as low as two
as low as two,are you serious
thanks baby,who s your partner
no,you sure
you sure,yes
yes,you better be motherfucker
it s the next street,i know where it is
i know where it is,turn left
turn left,i know where to turn
my office,and where is jackie
she was afraid,that i gotta see
how would you find me,winston found you
i am alone,git your ass in here
somebody already did,what
what,you did not hear
you did not hear,hear what
hey max,yes
beaumont livingston,livingston huh
have not a clue,possession of unregistered machine guns
house or apartment,house
we are back,ola
who is it,it s beaumont
he leave town,he is around
he is around,give me his home number
dream on,no oh god
what are you then,i am alive
what is not happening,let me out of here
i see,what do you want
well how do i look,like della
no thanks,it s fun
hello sam,are you all right
are you all right,i am okay
daddy,oh god
oh god,you are hurting me
you are hurting me,stop
stop,daddy let go
it s short huh,short it s ended
short it s ended,oh terrific
it s hard to explain,well try huh
what are you talking about,maybe the demons are real
i am hanging up,hey wait
wait daddy,now what
now what,do not go
daddy what was that noise,gabe what are you doing
gabe what are you doing,there was a bang
there was a bang,it was the window
it was the window,it s cold
it s cold,tell your mother
tell your mother,mom it s
i have seen them too,shit
i can not relax,wiggle your toes
her knee acting up,a bit
who,sarah
what is your name,jacob singer
jacob what can i do,save me
what was that,it s freezing
it s freezing,i am not cold
they stole it,who did
tell me damn you,you know who i am
sit down jake,where are they
where are they,sit down
you look upset,i am not upset
i am not upset,jake what is it
jake what is it,i am tired
oh where you going,west
west,where is west new jersey
where is west new jersey,do not be funny
tell me damn you,you know who i am
sit down jake,where are they
where are they,sit down
bullshit,i promise
i promise,please
me neither,what is gotten into you
do not,it might be for me
it s just me,jezzie
jezzie,who else were you expecting
who else were you expecting,let go
i love you jez,i know
help me help me,here i will do it
do not gimme that,lie down
lie down,jezzie my feet are throbbing
jezzie my feet are throbbing,sam tony come in here
sam tony come in here,hey i am not dressed
he is coming right over,coming here
how high is that,the numbers stop at
where are we,we are at della s
we are at della s,where
why what for,show me della
show me della,hey i am here
i am going home,what is wrong
jake,how s it going
what,why you left
she looked good then,not to me
thanks what is that,your kid dropped it off
your kid dropped it off,who jed
who jed,no the little one
yeah but for what,a good lay
a good lay,and look what i got
and look what i got,the best
where would you leave em,i do not know
what do you think,what do you mean
what do you mean,the room
what happened to you,do not ask
that help,thanks
gee thanks a lot,where is the lamp
where is the lamp,where are you
i can not move,just relax
just relax,what is happening help me
one drop,it s strong stuff
you come here often,sometimes when it s convenient
how was palm springs,hot where do i sign
i no from around here,yeah you and everyone else
he is burning up,total delirium
total delirium,he will never make it
push em back,help me
dream on,what
he is burning up,total delirium
push em back,help me
where am i,lennox hospital
lennox hospital,i am awake
i will page him,call my chiropractor
you have seen them,everywhere like a plague
still married jake,nope
what is goin on paul,i do not know
i do not know,you in trouble
you in trouble,yeah
hello,jacob singer
jacob singer,speaking
speaking,paul gruneger
died,a car accident
a car accident,jesus jesus when
jesus jesus when,last month before thanksgiving
last month before thanksgiving,how did it happen
bring it in,is he all right
is he all right,he does not like it
pour it in,on top of him
okay enough of this shit,alright asshole
yes it does,oh come on
minimal,we made it
his mother,what
what,i do not know nothing
rizzo pull the fucking lever,no
sergeant,get out of here
where have you been,he he
okay that hurt,thorgan pull us in
uh oh,what
what,kkinsa open the doors
goodbye my love,thorgan suit up
done,let s move out
kay em,what are you doing back
shit,the hull s imploding
the hull s imploding,rizzo can you hear me
creepy,cool
earth ii,suit up
then what do we do,i do not know
we would need charges,we could convert fission transistors
sergeant,what
i am an expert,you are a teacher
i am with you kid,where is he
kicker anything,negative
pull me in,i am pulling damnit
rizzo pull away,i am stuck
did you like it,i think so why
okay good tip,you will be fine
what if you miss,what if we do not
med kit,i guessed
well,she needs a little time
spunky,she broke my fucking nose
kaboom,again jesus
go go go go go,he is right behind us
yuck,we are screwed
they will make it,close the fucking door
close the fucking door,no
you lost the charge,he was chasing me
now that is just gross,go go go
hurry she is lost it,so what else is new
what do we do,crutch
jesus,oh my god adrienne
you are quicker than usual,later
later,you prefer an apple
i am surrounded by idiots,you need to get laid
robot huh,kay em
kay em,barbie from hell
i missed you too,i love you
sorry sorry,who are you apologizing to
who are you apologizing to,good point
almost done,ow
am i in there,sory
what,i gotta go back
i gotta go back,but
the power s back up,then open the doors
then open the doors,thirty seconds
something s wrong,keep trying
how do you know,i just know
what,ssh
guys please come with me,you are not going anywhere
more soldiers,scientists very intellegent men
you are not going anywhere,you wanna die
you wanna die,are we locked down
azrael can you repeat that,get him out of there
nanotechnology,nano but nanotechnology is impossible
what have you done,what have i done idiots
he is comin up,he is taken him
where,the bilge pumps there
what is that one there,tattoo had it taken off
c mon middle appendix,i almost had im
this is matt hooper,i know who he is
did you bring a check,what
you got it,and incidental damages if any
and incidental damages if any,you got it
home new york,no home here
you too sweetheart,thank you
mikey loves his birthday present,where is he
where is he,he is sitting in it
be careful,here you gotta be kiddin
i never hear the whistle,feed the dogs
right,do you see the kids
got a pen on you,why
nothing,what do we do
how can you tell,florida license plate
florida license plate,he ate a car
what stinks so bad,our friend the shark
dynamite how was your day,swell
you are leaving,going out on the aurora
going out on the aurora,is that a boat
he is busy,well is everything all right
follow him,he is under
he is heading under,no way he can not
over there,what do you see
i am okay,fasten the pole
can we make out now,okay
yeah that was me,why
wait let me take that,huh
i still have your virginity,oh my god shut up
you are being really immature,what
i do not like katrina,i totally heard you did
jesus bleek,well i do
charisma,or something
hey bleek,hey cool tiger looks proud
go carole so guess what,i do not know
i do not know,i am pregnant
hey man,oh hey vijay
yup,what a trip man
wow dream big,oh go fly a kite
no,no
i am leaving vanessa,what
what are you,i do not know
what,i actually know this one
i actually know this one,you do
is vanessa here,nope we are safe
that suits you,uh thanks
junk,you know it s parts
you know it s parts,i know what junk is
i know what junk is,yeah
no shit like johannes brahms,no more commercial stuff
no more commercial stuff,like what
like what,commercials
commercials,oh
your guitar is named kimber,yeah
what do you play,i rock a harmony
i rock a harmony,oh
viscera,blood and guts
juno what is going on,nothing
elbow,wow it s magical
nothing,then what is going on
can i take your coats,sure
your name please,juno macguff
or,thundercats are go
you mean like couples,yeah like people in love
keith s hot,eww he is all beardy
no way she is pretty,you sound shocked or something
hly shht,what
yo yo yiggity yo,i am a suicide risk
i am a suicide risk,is this juno
so what is that thing,a pilates machine
yeah downtown,a hotel
a hotel,it s a loft
hm,can you see it
you lose,i suppose anything s possible
that is not true,what
what,that is not true
carryin a gun,anything else
do what,adele are you serious
that is me,no it is not
no it is not,hold still
you took this picture,took em all
i am cool,could i try that
are you takin the pictures,yeah
yeah,is it hard to learn
is it hard to learn,not really
hi i am adele,carrie
happy birthday adele,early you are so sweet
where you from walter,vernon florida
what is your name boy,walter livesy
if you say so,damn right i do
dahlia no,now why is that
yeah,you wanna hear mine
that bad,then some
who,henry lucas
tight fit,best kind
what about you,i do not know
there s more,i am finished
what is it,look again
all set,fuck
fuck,take your time
bitch bitch bitch,up yours
up yours,i heard that
any word from that gallery,not yet
not yet,nervous
early just think,shut your mouth
never,no never excuse me
bri,where is adele
what is it,janitor s job
diebold,that would be my guess
what happened,who are you
who are you,his parole officer
could be,where would we find him
yes,you are clean
yes,with how many people
umm altogether,yes altogether
how old you,
nah,why not you stink
about ten fifteen is good,fifteen for me
why i do what,that
that,why i give pennies
why i give pennies,yeah why you give money
i wanna fuck darcy,who
who,darcy benny s little sister
darcy benny s little sister,oh you like her
you thirsty,yeah i feel dehydrated
yeah i feel dehydrated,you got any money
you down with the boost,unzip my pack yo
telly,yeah
yeah,did she suck your dick
you think,probably
probably,he lives on th
he lives on th,th
th,den less go joe
shit,what do you want
you know what else,what
what do you think,you fucked it
shit,was up bitch
na,you sure
casper was up kid,nothen b
nothen b,where you at
where you at,right here
right here,where you goin tonight
you goin,yeah
what,nuffin g just forget it
do you care about me,of course i do
do you like kissing me,yes
at the block party,yeah
right now,yeah come on
yeah come on,hold on
no,here swallow
what is it,bang up stuff
do you care about me,of course i do
telly is at steven s,i guess so
dance,what
what,come dance
i tested positive,i am sorry
one,were you protected
how old are you,
miss would i be prying,everything is wrong
no,am i getting warm
no i am ok thanks,you are ok
you are ok,yeah
hello,hello paul is telly inside
wish me luck,good luck
passion,boom boom
you are being ripped open,i know
i know,did you bleed
did you bleed,i did not bleed
i did not bleed,you did not
you did not,no i did not bleed
yeah,it s like
yep,making love is like
making love is like,sweet
no i was just kidding,what
he still does,i hate em
mom,shh
not too late,four thirty in the morning
four thirty in the morning,not too late
hi mom,hi telly where you been
you want a wip it,nah
hello,it s me telly
it s me telly,hello
yeah,it s very monotonous
slow,it s grandmother style
the message i figured out,sit down
yes you are,get off me
i am positive,you are a lying bastard
