questions,answers
no please sit down,thanks
thank you very much,do you like watching tv
do you like watching tv,yes i do usually
did you come late,i could not make it
i could not make it,why is that
why is that,i was sick
thanks a bunch,do not mention it
do you feel like dancing,yes why not
so what,and what is your vision
and what is your vision,
oh yes it is,what do you mean
hi how re you doing,terrible
terrible,oh what s the matter
thank you very much,bye
to where exactly,new england
you said it,how nice it is here
very interesting,what do you suggest then
sure that would be great,please fill out this application
please fill out this application,okay here you go
here you go,here s your library card
just throw them away,it is really exciting news
it is really exciting news,what news
that is fate,i feel sorry for her
well you will see,ok
congratulations,when will the ceremony begin
here s to you mary,cheers
see you soon,bye
bye,is this your new teacher
is this your new teacher,yes it is
yes it is,is she short
is she short,no she s average
no she s average,what color are her eyes
what color are her eyes,they re dark gray
they re dark gray,what color is her hair
what color is her hair,it s blond
it s blond,and how old is she
and how old is she,i don t know
you are so lucky,why do you say that
really he looks so young,you really look familiar
next june,i can hardly believe it
yes and you know what,what
thanks,have you forgotten the cheers
that is good,what a brilliant smile
i am worried,what about
what about,my exam
my exam,oh is that all
how s it going,great
i would like to where,at our club
at our club,when
when,at p m
maybe you are right,look it s begin
goodbye,is the lake very polluted
yes ten days,how nice it is here
i couldn t agree more,great let s go
was it,sure it was
he will burn his fingers,if only he knew it
what did you buy,a new home health monitor
you are kidding,no joke
tom did me many favors,for example
you have done excellent work,i am going to britain
let s go eat,kay dinner s on me
well i have no regrets,i ll drink to that
no romance is boring,what is you opinion
really,certainly is there anything wrong
ah the royal i think,what time does it start
then there s a show,that is okay i think
that is okay i think,all right
yes he was then,he looked his age
thanks you too,what did you say
what did you say,are you deaf or what
are you deaf or what,who s your favorite singer
who s your favorite singer,coco lee
just dress formal,how about transom
december st,what is on the test
are you new here,yes i am
which school,i transferred from pcc
i know,you are late
alright let s go,yes let s go
who s playing,it s the powell orchestra
who was chairing the meeting,bob
what time does it begin,at eight thirty
have you turned it on,yes i have
don t count on it,do you know that song
do you know that song,which song
which song,the song you hear now
good idea,how are you
how s your new car,perfect could not be better
ok good luck see you,see you frank
then what shall i do,call the police
what is the band called,love music woman
love music woman,here comes the birthday cake
here comes the birthday cake,wow what a lovely cake
good let s go now,all right
i appreciate your kindness,did you play football yesterday
about four years now,well it is very beautiful
why not,his father is a prisoner
ok hello,hello
hello,hi what is your name
hi what is your name,yeah my name is nandu
i am from madras,be quiet will you
be quiet will you,i am sorry
thanks a lot,don t mention it
yes,that is a gay bar
what a good idea,how s it going
i see i will try,good luck
spring,how about summer
how about summer,i dislike it most
i dislike it most,why
where did you go yesterday,i went to croydon
i went to croydon,did you go shopping
really does mary know that,of course not
of course not,how silly john is
do you like singing,yes i do
it s really terrible,what are you talking about
what time dose it start,in about minutes
for which one,sense and sensibility english version
sense and sensibility english version,yes of course
yuan please,here you are thanks
you got it,do you like plum blossoms
what is wrong with him,he has a bad cold
i am free at,maybe that would work
yeah sure,come on
i can not wait,how old are you
good evening john,good evening mary
good evening mary,how are you doing
welcome to china paula,thank you
good,what time should i arrive
what time should i arrive,how about
how about,fine see you then
hi peter how are you,fine how about you
fine how about you,pretty good
who s that,it me susan taylor
do you like music,well it depends
some other time then,ok thanks for asking me
thank you,i am most grateful
i am most grateful,it was a pleasure
it was a pleasure,you are acting weird tonight
how about at pm,see you then
when do you go,next week
who is cindy s husband,cindy s husband is ron
never believe his words,where do you live kim
ok great idea,i must be going now
be seeing you then,see you
fine just fine thanks,doing anything for lunch
it s awfully hot,you can say that again
i agree,it s beginning to spot
no should i have,hello
hello,is that the box office
is that the box office,yes
yes of course,thank you very much
for what,the test tomorrow
when will you lecture begin,begin at o clock sharp
sure,this is usually my chore
this is usually my chore,i do not mind helping
i will take one too,do you have any hobbies
do you have any hobbies,yes i like gardening
your garden is really lovely,thank you
yes i do,do not you feel dull
let s get it back,good morning miss
good morning miss,morning can i help you
you got it,he has lots of hobbies
i will,we would better leave now
we would better leave now,i beg your pardon
i beg your pardon,where are we headed now
it s so beautiful,balista pull me a ristretto
who will get the money,of course the children
how about next friday,friday sounds good
mary likes mountain climbing,what no kidding
it s difficult to explain,try me
who s it about,it s about bob dylan
it s about bob dylan,who is he
thanks charlie,no problem bob
i like that idea,it s a great school
it s a great school,i completely agree
ok murder will out,yeah
i graduated from songhua university,when did you graduate
when did you graduate,i graduated from it in
hello anna speaking,hey anna this is jason
good tonight o clock,it is see you then
it is see you then,bye
gone with the wind,what is it about
what is it about,sorry i have no idea
oh i would rather not,why not
yes ten days,have a nice weekend
have a nice weekend,same to you
what is its name,romeo and juliet
romeo and juliet,what is it about
yes do you have tickets,no i do not
good idea let s goa,ok let s go
he was years old then,how old is he now
how old is he now,he is over sixty
i had professor mahoney,is he an easy grader
i like science most,science that is a surprise
science that is a surprise,surprise
how s your married life,we are happy together now
sure thanks,say when
i am back,what have you done
what,the wonderful passing melaena did
the wonderful passing melaena did,too bad i missed it
you have a fantastic view,yes i love living here
thank you,my pleasure
what brings you to beijing,i am here on business
that makes sense,what things make you excited
i already did,is it on the shelf
is it on the shelf,i didn t see it
thanks goodbye,do you mind helping me
oh about two years now,where do your parents live
john,you speak english very well
you speak english very well,thank you
sure it s pm,what did you say
what did you say,i said it s pm
i said it s pm,thanks
you are welcome,japanese is easy to learn
perfect see you later,o k see you
o k see you,do you like traveling
how did you like it,it s fantastic
it s fantastic,why did you go there
why did you go there,i went there on business
yes a lot of friends,you must have enjoyed yourself
do not be that negative,really life is so boring
i booked a table yesterday,what is your name please
what is your name please,smith
how beautiful the flower is,really it s so beautiful
where it is,it s a private garden
it s a private garden,i love that vase
i love that vase,do you really like it
do you really like it,yes it looks perfect
people are funny,they sure are
i would love to,good morning miss li
what s it like,it s beautiful but crowded
how was my singing,not bad at all
what if i said no,ever hear of webtracker
when will your vacation end,the day after tomorrow
just the two of you,yup
yup,where did you go
where did you go,true a sea food restaurant
true a sea food restaurant,true the food is terrible
ok let s go,good afternoon
it s half past twelve,when do you have lunch
when do you have lunch,from one to two
from one to two,what do you normally eat
well here are the notes,are there any more
are there any more,sorry here you go
sorry here you go,thanks a lot
thanks a lot,no problem
what school,i transferred here from pcc
i transferred here from pcc,do you like it here
are you coming or not,i have not decided yet
do you have the time,it s ten thirty
but the brazilian is tougher,what dances do you like
good idea,what day is today tuesday
is this seat taken,no have a seat
what wish do you make,it s a secret
mike s really angry,i wonder why
maybe you are right,what a terrible house
i like no,you mean sweet heart
great thank you,you are welcome
thanks a lot,you re welcome
no i am not clear,we have spent
do you move a lot,no i do not
ok,what is your hobby
what is your hobby,photograph
keep in touch,i promise
i promise,where is pamela
where is pamela,is she coming
what is the weather today,it s fine today
who s it about,it s about bob dylan
it s about bob dylan,who is he
thanks charlie,no problem bob
just let it go,how are your work now
no i did not,sure
sure,quite sure
have a nice weekend,thanks you too
thanks you too,do you have any plans
hi walter,hi sterling
we scored six goals,i do not believe it
are you serious,yes i mean it
but i still love you,i m sorry
you mean used car,no ah single sellers
what room is it,it s
ok i am tom,glad to meet you
what day is that,it s friday
it s friday,good where shall we meet
you can talk with him,what does she do
tim please please be seated,thank you
do you really,it s beautiful
it s beautiful,well thank you very much
you owe me,thanks for everything
that is because you cheated,i never cheat
i never cheat,yes you do
time flies,you are telling me
i will not mom,take care of yourself
take care of yourself,i will bye mom
i will bye mom,bye my boy
did you check the computer,i already looked
i already looked,did it say anything
do you have any hobbies,yes i like collecting things
we are going dancing tonight,count me out
count me out,good morning mike
i will try my best,oh what a beautiful garden
what is in it,have a guess
have a guess,a necklace
a necklace,no
no,i have no idea
i have no idea,open it now
her name is jenny,how did you meet her
ok settled then,see you tomorrow
see you tomorrow,see you
how old were you,i was seventeen
it begins at p m,ok i see
just two,ok fifty yuan for each
ok fifty yuan for each,here is the money
what are the teams,brazilian against ac millan
thank you,you re all set now
thanks i will ask him,has the game started yet
has the game started yet,yeah about minutes ago
yeah about minutes ago,who s winning
who s winning,the bulls of course
speaking who s calling please,hi mary this is tom
i think there must be,why is that
it s very expensive right,yeah
i see thank you,you are very welcome
what is that,jenny is getting married
jenny is getting married,great who s the bridegroom
great who s the bridegroom,tom that lucky guy
who is the best man,guess
guess,nobody is ok but you
did you promise him,yes i did
yes i did,ben what are you doing
are you ok,yeah why not
well speak of the devil,what do you mean
why,her father is dying
her father is dying,oh that s very sad
oh yes it is,shall i light the stove
shall i light the stove,that s a good idea
good afternoon sam,good afternoon tina
can you play tennis,yes i can
yes it s very interesting,can you teach me
throw the ball up high,high
oh i hit it,well done
what are you majoring in,i am majoring in english
i am majoring in english,is it difficult to learn
ok i see thank you,you are welcome
i will do,has the game started yet
have you got the ticket,yes i did
yes i did,what time are you going
what time are you going,at o clock
yes it is,can you get it
uh yeah of course,did you see that
did you see that,no i missed it
no i missed it,how could you miss that
how could you miss that,someone was in the way
someone was in the way,hello is this eye computers
why would i do that,because men like to cheat
you re new here right,yes i am new
yes i am new,is this your first semester
i absolutely love it,you really like it
you really like it,yes i truly do
just last week,how was it
it does not matter bye,bye
and what should i wear,your usual shirt and shoes
thanks for the sweet words,any time
merry christmas mary,merry christmas mr bean
thank you for saying that,why did she do that
why is little billy crying,he got a scolding
rob lost his bike,what an idiot
i think there must be,why is that
maybe,do you have cold medicine
yes here this is,i will take it too
i will take it too,thank you and take care
oh yes it is,shall i light the stove
shall i light the stove,that is a good idea
oh where do you work,in a fast food restaurant
in a fast food restaurant,which restaurant
which restaurant,hamburger heaven
what is on tonight,i want to see click
i want to see click,who is in this movie
when is it due,next monday
that will be great,are you studying here
how s business,could not be better
noodles how about you,dumplings
dumplings,recently there prevails net love
recently there prevails net love,what is net love
how could you know,i watched the screen display
impossible,what shall we do tonight
what shall we do tonight,how about the cinema
tom s dating your sister,are you sure
sorry to hear that,how about next week
not much better thank you,i am feeling down
i am feeling down,come on cheer up
you said it,problems are inevitable
yes can i,do you really need to
is it important,yes do you mind
yes do you mind,you really have to
you really have to,yes will you let me
yes will you let me,i guess so
davis,thank you mr davis
we will try our best,thank you
look at that pretty girl,wow she is gorgeous
i need your library card,i have it right here
are you sure,yes i m sure
yes i m sure,how much
how much,your late fees come to
i ll do that soon,hi sarah how are you
hi sarah how are you,fine how are you doing
fine how are you doing,ok
coffee please,here you are
how s your mother doing,she is so pretty sick
i m not sure,you honestly have no idea
pcc is a wonderful institution,you have a point
i guess so,hello bob this is frank
hello bob this is frank,i know we have met
yeah i need to,what
yes,hmm you ve got mail
hmm you ve got mail,how do you like tom
medicine,really
which one,the tallest one
no she has not,great thank you very much
great thank you very much,how may i help you
fill this out please,what s next
that s great thank you,what are you thinking about
yes here s my identification,that is all you need
are you married,no i am still single
aright have fun on saturday,will do
hey let s arm wrestle,not now
you are right,how are you
what happened,i was denied a visa
i was denied a visa,why
we need to talk,okay
what is your favorite pastime,fishing it s great fun
is not there anything else,i have no idea
yes why,nothing i am just asking
i would love to thanks,when will you be convenient
when will you be convenient,any time will suit me
any time will suit me,are you doing anything tomorrow
are you doing anything tomorrow,i am free tomorrow
i am flattered,it is real word
it is real word,thank you very much
no it s my sister,how old is she
how old is she,she s
she s,she is tall
she is tall,yes she is
well just a little thin,how re you today
how re you today,pretty good thanks and you
thank you for your suggestion,you re welcome
you re welcome,what is your favorite sport
what is your favorite sport,swimming what about you
the blacks got divorced,really why
what are you majoring in,i am studying international communications
yes may i help you,may i introduce myself
may i introduce myself,yes
is that right,yes that is right
alright see you later,let s go swimming
do you like chocolates,it depends
it depends,do you like coffee
do you like coffee,um it s delicious
not all of it,it s getting late
pardon,what time is it please
what time is it please,it s
how about going swimming,ok where should we go
mr are you mary lin,yes
i like it very much,you dance beautifully
thanks,what is the matter
pop it s maria carey,when is it
when is it,at p m tomorrow night
okay that ll be bucks,wait what
sure what time,eight o clock tomorrow evening
eight o clock tomorrow evening,for how many people
for how many people,ten
ten,western food or chinese food
western food or chinese food,chinese food
no snakes please,how about drinks
how about drinks,mao tai and qingdao beer
yes why,nothing i am just asking
what are you doing tomorrow,nothing really
sure bring enough films please,i sure will
it s supposed to rain,i really hate this weather
i d appreciate that,please use the phone
please use the phone,thanks
what is wrong with him,he has a fever
he has a fever,is he getting better now
is he getting better now,i think so thank you
i think so thank you,how are you doing christopher
thanks cheers,cheers
i will good bye,bye bye
well nobody s perfect,can i help you
have you fallen in love,yes at first sight
thank you,how s your new car
how s your new car,perfect could not be better
dream on,do you mind retiring earlier
good news,what is it
mary are you still there,yes what do you want
yes what do you want,did your bid win
did your bid win,what do you care dork
of course not help yourself,what are you studying
what are you studying,i have a test tomorrow
in the front please,that is yuan each
tarzan,can we get tickets now
yes yuan for each,two tickets please
two tickets please,ok here you are
how amazing,i like small towns
who is the director,steven spielberg another superstar
give him a chance,happy new year
hi fanny,hi andy
true well see you tomorrow,see you
see you,did you hear about neil
did you hear about neil,no what
hello tom,hello steven
hello steven,how are you doing
how are you doing,not bad what about you
how is your family,pretty fine thanks
pretty fine thanks,where are you going now
ok see you next time,see you
i like spring,why
how are you doing today,good thanks for asking
follow me please,thank you so much
julia are you free tonight,what is up
what time should we meet,how about seven
how about seven,all right
ok bye,bye
what date is it today,why
let me see it,who s the letter from
read it,ucla accepted me
ucla accepted me,really
get changed,what for
what for,what a nice uniform
what a nice uniform,thanks do you like it
how do you know her,she is my cousin
that is true,i can t believe it
bon voyage,goodbye
goodbye,can you believe me
can you believe me,sure
sure,please count on my love
please count on my love,i will
are you tired,not really
do not mention it,good night then
good night then,good night
joan is a thorough drag,what is it
do you have any hobbies,i like to paint
are you married,yes is that so important
hello,mark this is lucy
mark this is lucy,what is up
he is a lawyer,ok see you then
ok see you then,see you
do you really,what do you mean
yes here s my identification,that is all you need
may i,sure
ok,do you promise
do you promise,of course
i do not care,my goodness you re kidding
never do that again,i promise
who,julia roberts
what is the movie about,i am not sure
thank you very much,you re welcome
you re welcome,how did you do that
have a nice thanksgiving,the same to you
the same to you,are you going anywhere
steve is that you,yeah what is going on
ok bye,anything interesting in this city
oh yes,brad wait
brad wait,what
wow,do you like sports janice
guess what i just heard,what
i have moved,where to
because bicycles are safer,i passed history test
i passed history test,really that s marvelous
did she accept it,no way to know
how about great canyon,is it worth seeing
do you have girlfriend,yes why
no i need to borrow,sure here you go
sure here you go,do you have any siblings
what,hi what re you reading
what about a factory tour,you mean visit a factory
yes,when will school start
ho no,good evening mr wu
good evening mr wu,good evening mr smith
what are you majoring in,i major in japanese
why we just got here,i know but it s
i know but it s,
,three or four o clock
three or four o clock,yes
pot is not that marijuana,yes it is
that is the plan,good luck
banker,yes
yes,can i have my please
hello is that cathy speaking,yes is that you allen
yes is that you allen,yes how are you doing
yes how are you doing,not bad
ok see you,see you
hello elitherbeth how are you,fine thanks
you do not have to,it s really no problem
what an interesting family,what do you do now
why,i was fired last week
it does not matter,what is your plan now
best wishes for you,thank you
yes,hmm you ve got mail
ok when,at o clock
at o clock,in the morning
in the morning,no at night
how about pm,that is fine
that is fine,ok see you then
ok see you then,alright bye
ok i will,how are you sue
i just won the lottery,you are kidding
how s the weather today,it s hot
tomorrow morning try it,no problem
nothing it s free,is that yellow bus it
lucky her,excuse me are you american
excuse me are you american,no
no,do you speak english
nice weather honey,the days are getting longer
what a pity,what are you doing tonight
it s too late,what upsets you
great thanks a lot,good morning mr jones
yeah that is fine,what is your number
ok,can i borrow these magazines
but i still love you,i am sorry
how old is he today,it s his th birthday
likewise see you later,bye
jack what is wrong,you
that is all right,who is it
who is it,supervisor open the door
supervisor open the door,wait a sec
wait a sec,what are you doing here
are you free tonight,i think so
i quit my job,you can not be serious
that is a good idea,good luck
certainly not here it is,thanks a lot
yes that would be good,oh no
how old are you,that is a secret
maybe it can take effect,do you like playing games
ok,a beautiful center
a beautiful center,and good shot
and good shot,a goal
it s that popular,it sure is
it sure is,have you seen that house
frightened you must be joking,have a nice weekend
what did you major in,i major in chemistry
i major in chemistry,what is your specialty
what is your specialty,organic chemistry is my specialty
no problem,ouch
ouch,are you all right
what is your weight,pounds
did you ever take history,yeah last semester
yeah last semester,who was the professor
who was the professor,it was professor johnson
hi happy new year,hey the same to you
how are you,i m great thanks
i m great thanks,did you need something
did you need something,i need your help
i need your help,how may i help you
could you do that,follow me
how old are you su,i am seven
me too,hi you enjoying the party
no i never do that,why not
all right,that s it
eight altogether,how are they proportioned
how are they proportioned,six are compulsory two optional
travel,do you like barry
of course,hello this is susan
what s the time,six thirty tonight
well it s thursday today,and the date please
and the date please,the th
surely i will,here s the key then
thankyou goodbye,what are you reading
then what shall we do,call the police
how s the food,it s pretty good
sure which one,titanic
thirty yuan,fairly expensive
any terrible fines,sure
joseph who is that woman,that is susan
she is a lawyer,is she american
oh that is matt,he is really good looking
he is really good looking,yeah
yeah,do you know him
is he married,yes he is married
what should we take,how about a china vase
how about a china vase,good idea
sure what s playing,the new twilight movie
you can never do that,why
sure is b any others,no thank you
i have an idea,what
be seeing you then,see you
guess what,what
excuse me miss,yes may i help you
sure thirty this afternoon,good see you later
good see you later,thank you good bye
sure,did you tip the bellboy
mom what are you doing,i am clipping coupons
i am clipping coupons,still clipping coupons
do you have s second,sure what do you want
it can not be true,take my word for it
go ahead,what is the date today
really that is nice,he usually keeps me posted
please be careful next time,i will thank you
good luck,thank you
yeah,oh i am shocked
oh i am shocked,excuse me miss
sure this afternoon,good see you later
thank you good bye,what is your apartment like
it leaves in minutes,good
i think so thank you,it sure is hot today
i see i will try,good luck
thanks a lot,my name s mcdonald
yes with flying colors,what does that mean
do you like him,yes i do like him
yes i do like him,then why are you hesitating
maybe you are right,how s work
how s work,the same as usual
what race is he,they did not say
mom,mm
is anybody in,how can i help you
how can i help you,i have a headache
oh is that so,exactly
exactly,is this your new teacher
do you have a boyfriend,yes why
i will try,what happened
what happened,i do not know
do not waste time,i am curious about that
okay i will,hey what is the matter
the bus i took,what do you mean
what do you mean,i took the wrong bus
is that all,yes just the video
it s white gold,where did you buy it
akha,do you like traveling kathy
exactly,hello jane
do you often do exercise,certainly
says who,my parents
my parents,oh i see
oh i see,how about you daniel
just tell her off,yes great
thanks for your help,no problem anytime
what is your name,my name is sam
my name is sam,how are you sam
how are you sam,i am fine thank you
i am fine thank you,where are you from sam
where are you from sam,i am from england
i am from england,what is your job
what is your job,i am a bank manager
what date sir,october th
crikey where did this happen,in taichung i think
well he sure was lucky,i will say
i will say,are you a newcomer
what from peter,oh of course
yes and no,how are you doing
how are you doing,i am doing great
there s a typhoon coming,is that right
ha she is too little,cute like you
thx,hello
hello,hi
hi,how are you
good do you speak english,a little are you american
a little are you american,yes
yes,where are you from
where are you from,i am from california
i am from california,nice to meet you
nice to meet you,nice to meet you too
could i see that please,yes here it is
i forgot,you forgot you
are you busy now,no why
it serves her right,this is my uncle charles
yes of course,the view is breath taking
well thank you for coming,so see you
bye,hi how re you doing
i will see you then,see you tomorrow night
are you quite sure,yes have a look
i promise,is anything the matter sir
is anything the matter sir,yes it s my steak
hi ed what is up,nothing
maybe i can help,i blew the finally exam
you are flattering me,can i help you
what does your father do,he is a worker
he is a worker,what about your mother
what about your mother,she is a nurse
she is a nurse,when is your birthday
what does it say,i ve been accepted
i ve been accepted,are you serious
are you serious,i m serious
i m serious,good for you
when do you leave,i am catching the train
i prefer boxing to beef,what happened to your brother
congratulations on the new house,thanks we love it
who s that boy,where
how about tomorrow afternoon,tomorrow afternoon would be fine
um,toast dear
toast dear,as you like
leave me alone,may i help you
what is that,it s a surprise
it s a surprise,for me
ok see you later,hi natasha how s life
mom,yes honey
yes honey,i i can t breathe
i i can t breathe,jane pleases come with us
good luck,thanks
oh,what fools we were
fifty times,yes it was really stupid
how s your girlfriend,we broke up
we broke up,how are you tonight sir
sure they are,who s winning
who s winning,we are to
actually me too,hi how is it going
yes i can,what does the notice say
what does the notice say,it says wet paint
coffee please,what about you mary
what about you mary,coke is fine thank you
what is it,open this card and read
maybe you are right,we will go tomorrow
i am leaving now mum,take care sonny
take care sonny,i will bye bye
i will bye bye,bye
bye,you hoo anybody here
you hoo anybody here,over here betty
i think so,excuse me sir
excuse me sir,yes
how much is it,it s two yuan
i appreciate it thank you,that s all right
yes,click on that
click on that,oh i see
yes,your card number please
your card number please,
,double one zero two
double one zero two,no double nine zero two
no double nine zero two,
,that is right
that is right,and the expiry date
and the expiry date,eleven
eleven,could you repeat that please
could you repeat that please,november this year
thanks a lot goodbye,goodbye
that s okay,may i help you
when can i get it,three days later
three days later,thank you see you then
thank you see you then,bye bye
bye bye,hey jim wake up
ok i ve done that,then just press this button
ok,is this watch yours
what kind of card,american express
please,can i pay by check
we have not hurry up,all right let s go
all right let s go,and about time too
i need some medicine,for whom
what symptoms does he have,fever and a bad cough
thank you very much,my pleasure
hopefully it will,how come
yeah so do i,boy come here
ok let s go,hello may i help you
good idea,your wet towel sir
yes,how much would you like
it s my pleasure,please accept this tip
yes,what is your name
what is your name,my name is james
my name is james,what is your nationality
what is your nationality,american
well doctor i,did you eat any cake
did you eat any cake,yes i ate some cake
excuse me,yes
thanks,you re welcome
which university are you attending,i attended suzhou university
i attended suzhou university,have you received any degrees
hello,hello
ok bye bye,bye
are you sure,yes sir
for six months please,your name please
how much is a battery,
,how long will it last
how long will it last,about years
about years,here is the money
electronics,yes like stereos and televisions
ok let s go then,do you have any money
do you have any money,for what
you are right,what is your great struck
tyler residence,is this naomi
thanks,bye
thank you,you are welcome
oh what s she like,she is beautiful
she is beautiful,is she old or young
that is all right,here you are
here you are,can i open it
can i open it,yes certainly madam
yes certainly madam,it smells sweet
really how much is it,dollars madam
let me help you,what does mi mean
what does mi mean,mi stands for middle initial
lily smith,and your telephone number
and your telephone number,hong kong side
hong kong side,ok right then
ok right then,thank you
thank you,why do you stop me
i see thank you,where are you going
i like chinese food,but your american
i have typed the report,well done
that is convenient,absolutely
absolutely,hi jone how are you
hi jone how are you,terrible
terrible,what is wrong
no,why not
i do not think so,i thought you knew
and lisa,yes
ok i will go,that is a deal
that is a deal,sure
hello helen,hi steven
hi steven,how are you today
rosedale investments,could you spell that please
um yes it s ros,
,that is right
might i suggest a mac,okay how much
okay how much,well a inch pro is
they look fake,thanks
do not worry bye,are you okay
are you okay,no
no,what is wrong
what is wrong,i got robbed
i got robbed,by who
repairman may i come in,come in please
come in please,what is the matter sir
what is the matter sir,the toilet does not flush
wonderfull thanks a lot,you are welcome
you are welcome,come in young man
reading newspaper on the couch,how about daniel
ok,do not worry about him
sure,thank you
thank you,you re welcome
did anyone get hurt,two people were injured
about a week,just a moment please
outlets have cheap cashmere sweaters,what a splendid idea
thanks for helping me,you are welcome
of what,afraid of making a mistake
hi i am just looking,it s a good car
it s a good car,what year is it
what year is it,
,how about the mileage
how about the mileage,miles all highway mileage
miles all highway mileage,what do you mean b
how much is it,
no problem,may i help you
you will be fined,how much is the fine
stirred or shaken,stirred will be fine
stirred will be fine,here you are
here we go,it tastes great
it tastes great,enjoy yourself
enjoy yourself,yeah
what s that,i got sacked today
how late were you,only about minutes
i have an issue,what s going on
is there any water damage,there is mildew
i need it done today,you re right about that
you are welcome,what is wrong
it depends,is that room service
i will have a hamburger,the works
anything to drink,a small cola
how much is it,yuan
here s an interesting ad,how much is the rent
how much is the rent,the ad says plus deposit
the ad says plus deposit,when is the place available
how much is it,a week
how long does it take,about a week
thank you,do you have a reservation
do you have a reservation,yes i do
oh this is just fine,please take a seat
please take a seat,thank you
thank you,here is the menu
here is the menu,nice to meet you
nice to meet you,nice to meet you too
nice to meet you too,you are a graduate right
ok let s go then,do you have any money
do you have any money,for what
yuan,ok i will take it
may i make a reservation,of course at what time
what is going on,nothing really how about you
how is your appetite today,i am rather hungry now
thank you very much,can i help you
when is your flight,june loth
so is there a refrigerator,yes it s brand new
it s a month,when can i see it
where did you buy it,in boston
in boston,do you travel a lot
thanks very much,you are welcome
you are welcome,hello is becky there please
not at all welcome again,have you heard the news
have you heard the news,i have not heard anything
nobody told me,i thought you heard
shall we buy,it really depends on you
it really depends on you,but if you were me
here you are,thank you
great thanks for you advice,may i help you
pardon,six hundred us dollars
six hundred us dollars,i am sorry sir after
where to sir,to this place please
to this place please,star hotel ok
about minutes,here s the hotel
here s the hotel,how much is the fare
how much is the fare,that is dollars
oh dear,what is the matter
surely of course,how can i help you
a sprite sounds good,what else would you like
anything else,that is all
that is all,what are you working on
sounds good,thanks for your time
thanks for your time,no problem bye bye
here is the money,hi how are you
are the plumbing all right,the plumbing seems ok too
you do who,honey how is by you
i am sorry,good morning
good morning,er good morning yes er
you re free to leave,i m so excited
i know,i wish you luck
i suppose so,you ran into my car
it s smashed in,that is not my fault
i need your information too,here you go
thank you so much,hello may i help you
ok,hello
hello,hello claire this is mick
rose is this you,yes what is up
good that is all then,good
that would work too,anything else
fine i will sit here,would you like some drinks
ok,look traffic jam again
hello is this professor clark,yes i am professor clark
for how many people,only one
only one,may i have your name
may i have your name,john
thanks for your help,no problem
of course i will,good luck
this is a pity,can i help you sir
just a hunch sir,how much again
how much again,
sorry sir,why not
of course not sir,ok i will take one
ok i will take one,ouch it s unbearable
who was elected,mccain won the election
mccain won the election,that can t be true
that can t be true,i m upset too
i was sick,how were you sick
how were you sick,i had a stomachache
i had a stomachache,did it get any better
i took something earlier,get better
get better,thanks a lot
thanks a lot,do you want some dessert
well wait a minute,are you introverted or extroverted
how are you doing,i am pretty good you
i am pretty good you,i am awesome
you have drunk everything sir,i finished it all
you said it,may i take your order
do you want some dessert,apple pie please
apple pie please,single or double
single or double,make it two
make it two,good morning sir
may i order please,of course
do you have s second,sure what do you want
yes,how would you like it
yes it s essential,what about our luggage
how much are the roses,per dozen
even in the winter,yes even in the winter
no way,what do you mean
the big one,yes
at please,how many in your party
how many in your party,a party of
i need to eat something,you just ate
you are on,when do you leave
tell me where you live,i live in altadena
i live in altadena,you can catch the
get me some of each,ok here you are
that is unfair mom,what is up honey
good morning how are you,i am very worried doctor
how do you sleep,very badly doctor
okay,goodbye randy take care
yes what are your hours,we open at lo
we open at lo,thanks lot
all right,you are late
want some more,i am stuffed
i do not have it,what
medium,these here are all mediums
yes please,hello doctor
how was your appetite,pretty good i would say
unbutton your shirt please,well doctor
are you married,no i am still single
what happened before,my hard drive crashed
you are smart,hey taxi over here
it s just a ticket,how much is the fine
is english acceptable for you,yes
what is your name,jenny madison
jenny madison,what s your nationality
what s your nationality,nigerian
th of april,and your occupation
and your occupation,i am a painter
i am a painter,what is your passport no
what is your passport no,
yes,ok sign here
ok,you are very skillful driver
you are very skillful driver,thank you
is that all,yes that s the minimum
you will get a fine,how much
how much,it s going to be
it s going to be,who is the next one
who is the next one,it s peter s turn
it s peter s turn,give the mike to him
give the mike to him,ok
ok,be quiet he is singing
see you,would you like to travel
sure,where
where,go to window number eleven
go to window number eleven,thanks
what is your address sir,i live at park street
that is everything,thanks for all your help
yes a medium coke,will that be all
will that be all,yes
yes,for here or to go
no thanks maybe another time,for sure another day
hello mr brown,hello can you help me
do i owe any fees,you sure do
you owe in fees,i can t believe that
cash or check,i will pay with cash
are you sure,yes it s ok
here you are,where are you coming from
where are you coming from,china
ok thank you bye bye,bye
bye,can i help you madam
it looks good on you,i look like a nerd
when will you set out,next week
i will bring it over,anything good for this evening
hello mr kowalski,i am here hello
see you soon,goodbye
goodbye,i love chinese food
do you accept coupons,yes
it s dollars,all right here s dollars
go to gate number please,thank you very much
thank you very much,do not mention it
do not mention it,are you free next thursday
i am just looking,then take your time please
then take your time please,thank you
it sure does,what is going on here
did he telephone again,no he did not
that is perfect,i know it is
okay no problem bye,bye
the round shape pair,that is right
i agree how much,yuan
okay no problem,how much is it
cool thanks,you are welcome
of course here you are,then what is special tonight
great good work,hang out the clothes
hang out the clothes,but it s raining
excuse me sir,what is the matter
yes,where will we call at
where will we call at,dalian
dalian,dalian is my hometown
dalian is my hometown,really
forget it it s nothing,does this tv work well
you are welcome,it looks delicious
